County Unreserved_Timberland_Total Unreserved_Timberland_SE Unreserved_Other_Total Unreserved_Other_SE Unreserved_Total_Total Unreserved_Total_SE Reserved_Productive_Total Reserved_Productive_SE Reserved_Other_Total Reserved_Other_SE Reserved_Total_Total Reserved_Total_SE All_Total All_SE
Kern 6,910.7 1,643.5 10,394.0 1,556.1 17,304.7 2,259.5 — — 964.6 407.3 964.6 407.3 18,269.3 2,290.9
Lake 14,144.8 2,909.5 3,520.4 944.7 17,665.1 3,051.3 846.0 651.1 604.2 459.9 1,450.2 797.2 19,115.3 3,149.7
Lassen 38,473.2 3,819.3 4,373.5 608.4 42,846.7 3,861.6 2,921.6 1,307.4 — — 2,921.6 1,307.4 45,768.4 4,057.7
Los_Angeles 2,528.2 1,028.5 3,515.4 929.1 6,043.6 1,375.2 330.3 311.3 554.2 307.9 884.4 437.7 6,928.0 1,429.5
Madera 27,475.0 5,061.3 6,753.9 1,318.2 34,228.8 5,217.8 18,408.5 4,508.5 803.2 421.0 19,211.8 4,525.2 53,440.6 6,787.4
Marin 4,332.9 2,543.8 1,279.7 517.7 5,612.6 2,593.8 3,851.6 2,342.8 557.3 363.9 4,408.9 2,364.0 10,021.5 3,508.5
Mariposa 10,009.3 2,742.1 8,233.4 1,794.3 18,242.7 3,258.5 22,607.3 4,417.8 831.9 399.4 23,439.1 4,415.3 41,681.9 5,486.8
Mendocino 129,619.4 9,578.4 24,128.1 3,653.4 153,747.6 10,098.2 4,141.3 2,141.1 4,309.2 2,480.2 8,450.5 3,273.1 162,198.1 10,575.0
Merced — — 558.2 342.3 558.2 342.3 — — 51.8 53.2 51.8 53.2 610.0 346.5
Modoc 23,985.3 2,877.5 6,620.3 798.0 30,605.5 2,977.1 2,971.0 1,567.7 205.0 152.4 3,176.0 1,574.8 33,781.5 3,347.5
Mono 7,687.1 1,601.5 8,337.0 1,437.6 16,024.1 2,117.3 785.2 421.1 1,341.2 503.0 2,126.4 654.3 18,150.4 2,198.1
Monterey 4,499.9 2,587.8 12,839.4 2,194.0 17,339.3 3,384.6 5,144.3 3,653.0 5,006.5 1,827.2 10,150.7 4,182.1 27,490.1 5,365.9
Napa 5,587.9 1,867.7 5,813.9 1,776.3 11,401.8 2,467.9 — — 299.3 261.8 299.3 261.8 11,701.1 2,481.7
Nevada 26,995.5 4,271.1 1,949.0 673.3 28,944.5 4,311.9 167.5 170.6 101.6 92.5 269.0 194.0 29,213.5 4,322.8
Orange — — 170.0 103.2 170.0 103.2 — — 58.9 44.8 58.9 44.8 228.8 112.5
Placer 42,971.2 5,985.8 8,054.6 2,013.5 51,025.8 6,292.5 2,234.6 1,024.3 131.9 94.0 2,366.5 1,027.8 53,392.3 6,367.1
Plumas 105,778.8 8,148.6 826.8 319.4 106,605.6 8,156.3 5,010.4 2,360.2 — — 5,010.4 2,360.2 111,616.0 8,388.2
Riverside 1,123.2 644.1 320.9 164.7 1,444.0 664.6 1,261.3 692.0 43.0 21.6 1,304.3 692.4 2,748.4 958.8
Sacramento — — 149.5 134.7 149.5 134.7 — — — — — — 149.5 134.7
San_Benito 1,360.2 1,066.8 2,742.2 761.8 4,102.4 1,310.6 — — — — — — 4,102.4 1,310.6
San_Bernardino 5,485.4 1,648.2 4,554.0 1,168.7 10,039.4 2,008.0 2,364.1 1,111.0 814.6 348.7 3,178.7 1,161.3 13,218.1 2,291.5
San_Diego 127.9 94.5 2,631.2 787.2 2,759.1 792.4 683.9 690.5 305.3 217.9 989.3 723.4 3,748.4 1,072.8
San_Joaquin 1,451.1 894.9 177.7 154.3 1,628.8 908.1 — — — — — — 1,628.8 908.1
San_Luis_Obispo 531.8 468.4 12,064.3 2,067.6 12,596.2 2,109.6 — — 1,942.5 1,409.2 1,942.5 1,409.2 14,538.7 2,519.8
San_Mateo 5,941.0 2,532.4 1,190.7 638.4 7,131.7 2,611.6 3,421.0 2,176.1 611.2 620.7 4,032.1 2,262.9 11,163.9 3,632.5
Santa_Barbara 1,097.7 627.8 6,795.2 1,503.2 7,892.9 1,649.5 529.6 315.4 1,810.1 822.8 2,339.7 878.4 10,232.6 1,865.3
Santa_Clara 2,834.8 1,476.2 8,531.9 1,660.3 11,366.7 2,167.1 — — 2,782.2 875.0 2,782.2 875.0 14,148.8 2,363.6
Santa_Cruz 20,206.4 4,170.9 524.9 358.6 20,731.3 4,185.3 10,993.0 4,585.3 719.8 733.3 11,712.8 4,638.7 32,444.1 6,245.7
Shasta 90,465.9 7,273.4 12,978.8 1,906.1 103,444.8 7,453.4 11,818.6 2,676.0 2,532.3 1,164.3 14,350.9 2,886.7 117,795.6 7,855.4
Sierra 39,617.0 5,731.1 — — 39,617.0 5,731.1 116.3 118.5 — — 116.3 118.5 39,733.2 5,732.8
Siskiyou 177,200.7 10,758.9 8,396.3 1,780.8 185,597.1 10,852.0 39,373.7 6,388.8 623.9 383.1 39,997.6 6,414.3 225,594.7 11,872.0
Solano — — 857.0 431.2 857.0 431.2 — — — — — — 857.0 431.2
Sonoma 37,672.3 6,671.8 5,829.0 1,370.5 43,501.3 6,770.0 4,310.5 2,774.0 1,755.2 864.6 6,065.7 2,905.1 49,567.0 7,347.5
Stanislaus — — 1,663.6 458.3 1,663.6 458.3 — — 271.2 209.0 271.2 209.0 1,934.8 503.7
Sutter — — 1,332.2 736.8 1,332.2 736.8 — — — — — — 1,332.2 736.8
Tehama 38,360.1 5,525.1 8,075.4 1,150.3 46,435.5 5,629.5 4,807.4 1,968.7 919.6 461.0 5,727.0 2,019.5 52,162.5 5,931.3
Trinity 124,783.1 10,052.3 5,976.0 1,506.5 130,759.1 10,127.8 49,126.7 6,126.0 3,142.2 1,297.4 52,269.0 6,243.8 183,028.1 11,200.5
Tulare 14,314.9 3,228.0 5,095.1 1,100.3 19,409.9 3,394.4 59,825.8 7,689.1 10,558.9 2,167.4 70,384.7 7,895.0 89,794.6 8,411.8
Tuolumne 42,053.0 5,897.8 6,487.2 1,616.2 48,540.2 6,080.5 35,296.9 5,878.0 1,400.3 894.6 36,697.2 5,918.5 85,237.4 8,450.7
Ventura 122.1 86.1 2,551.3 712.0 2,673.4 716.8 929.3 488.3 910.2 474.9 1,839.5 679.9 4,512.9 977.5
Yolo — — 1,410.0 487.7 1,410.0 487.7 — — — — — — 1,410.0 487.7
Yuba 14,064.0 3,704.6 2,414.6 916.2 16,478.6 3,820.9 — — 323.8 247.6 323.8 247.6 16,802.4 3,828.9
